1;4;6;12;19;34
4;19;23;33;42;43
4;17;27;34;42;45
4;11;13;22;26;30
6;20;22;29;33;41
2;12;15;21;22;26
2;14;27;33;39;42
6;16;24;41;42;45
1;9;15;18;21;33
6;19;25;31;39;45
1;24;33;36;40;42
3;7;16;19;27;37
6;17;21;29;33;43
6;17;21;23;38;40
4;6;28;41;44;45
6;17;18;27;35;40
1;7;12;27;34;45
1;8;9;31;38;45
6;8;20;27;36;44
2;6;13;30;31;37
3;25;26;36;38;40
9;24;27;29;33;44
2;22;23;30;43;45
19;22;28;34;39;45
1;23;25;27;35;45
4;13;14;16;31;41
1;5;20;28;29;41
5;12;14;15;17;18
2;3;4;8;9;25
16;20;22;27;36;39
10;20;30;34;37;42
5;14;17;36;37;39
2;15;19;20;23;28
2;5;16;21;36;42
6;16;23;24;34;39
13;17;22;38;39;45
7;8;13;14;17;22
1;19;27;29;30;41
6;17;21;23;25;38
4;7;14;22;32;40
18;19;21;25;31;43
3;12;14;16;19;40
19;23;32;34;35;45
1;17;26;27;38;45
10;11;18;29;30;35
10;14;16;20;40;43
1;28;30;33;40;42
5;9;16;32;35;40
6;14;21;27;34;37
3;4;5;12;20;29
4;12;13;23;29;41
9;22;30;31;32;38
9;10;22;30;37;39
8;9;13;15;21;39
3;14;21;25;26;45
22;30;32;35;39;43
14;24;28;32;40;42
14;25;36;40;44;45
16;18;23;26;31;34
2;17;29;37;38;39
4;21;26;31;33;37
4;9;10;23;36;39
19;23;32;35;42;43
6;8;27;30;31;32
6;11;13;23;26;39
2;29;35;37;39;41
7;17;23;26;27;41
7;11;15;31;36;38
23;25;31;34;36;43
5;14;24;29;32;37
2;12;15;29;39;43
3;4;12;23;34;41
3;11;26;32;34;44
3;16;25;26;30;32
2;4;10;12;18;36
1;13;18;28;29;43
2;24;34;36;42;43
1;7;9;10;23;30
6;10;13;23;30;39
5;8;9;33;42;43
9;15;20;24;32;37
4;14;17;34;36;43
13;19;26;31;40;45
9;11;17;28;34;45
10;16;27;34;43;45
2;5;9;15;18;41
2;10;23;28;38;42
21;26;31;39;42;44
11;18;23;29;33;36
4;15;22;30;34;37
1;22;24;30;37;44
5;7;9;11;12;14
2;12;15;23;39;44
4;12;13;23;32;40
9;13;17;24;35;40
2;11;20;23;41;45
1;6;11;24;27;31
4;17;23;25;30;33
1;4;29;34;43;44
3;21;26;32;39;45
3;14;16;31;38;44
10;12;15;22;42;45
6;9;10;24;30;35
11;20;22;33;40;45
7;18;26;33;38;44
4;6;11;15;17;36
21;35;36;41;43;44
1;2;23;35;39;42
2;3;4;16;17;34
5;7;10;11;17;21
1;7;9;20;28;37
2;10;12;14;22;24
1;2;8;34;37;44
3;10;17;24;40;45
2;8;22;34;37;40
3;4;11;18;28;38
9;19;23;24;30;45
2;11;13;17;18;37
10;18;21;28;32;41
3;9;12;13;15;36
9;19;25;38;39;41
5;12;14;20;32;33
1;9;23;24;27;39
1;4;13;26;28;37
5;6;17;20;21;30
6;11;25;36;40;45
2;31;38;40;43;45
12;14;22;31;37;42
1;11;24;32;37;44
9;10;17;31;32;39
14;17;19;24;27;37
15;17;30;35;36;45
3;21;30;32;34;35
1;22;29;31;33;42
1;3;15;20;37;42
2;4;14;35;41;45
6;14;23;27;30;40
2;7;13;24;32;38
12;18;30;33;40;44
13;31;34;36;38;44
2;10;31;34;37;40
14;16;26;31;32;41
1;18;21;22;27;39
1;3;10;13;15;38
16;22;28;33;35;36
1;13;19;30;31;32
2;7;10;36;37;42
3;14;31;36;44;45
1;6;9;18;23;37
7;31;38;39;42;45
9;25;26;28;33;39
1;7;33;36;41;42
24;28;30;31;33;36
6;24;29;30;32;40
5;14;16;20;25;37
12;14;25;28;30;36
4;7;29;39;42;44
7;15;20;31;36;38
2;14;16;22;37;38
37;38;39;40;41;45
2;12;20;22;34;45
14;27;28;35;40;41
1;4;28;31;39;45
1;3;7;14;18;42
7;14;18;33;35;45
6;17;25;28;40;42
1;18;22;28;39;43
26;35;36;41;42;43
7;11;12;22;28;29
4;8;16;17;29;41
21;25;31;32;33;40
10;14;22;33;34;40
5;13;25;29;37;41
5;7;12;16;25;30
1;4;11;12;30;31
10;13;24;29;32;40
1;5;15;19;35;41
3;12;27;36;40;42
7;13;21;26;31;43
15;17;18;31;41;45
23;28;29;30;40;41
5;10;18;35;37;42
1;4;8;26;27;36
3;8;19;26;34;42
2;10;17;26;31;35
21;22;40;43;44;45
5;6;12;17;30;35
8;10;13;18;20;44
1;2;17;26;33;39
14;16;18;27;41;44
3;16;30;41;42;43
10;11;15;18;33;34
4;29;39;40;41;45
2;10;24;29;40;44
17;18;20;22;35;41
13;14;16;32;41;42
6;14;15;18;19;37
6;17;34;37;41;44
12;29;30;37;38;45
5;7;9;18;25;40
11;18;24;27;34;41
3;4;5;7;24;27
3;5;16;19;21;24
9;14;19;25;26;28
1;5;16;27;31;35
3;7;12;17;18;44
4;5;9;13;17;32
3;5;18;39;42;43
2;16;21;24;26;45
2;14;22;28;34;38
2;6;11;31;39;44
24;32;34;38;41;45
13;14;16;19;27;30
2;9;27;34;39;45
13;16;20;31;33;40
13;20;27;30;34;36
12;30;39;40;44;45
1;3;7;24;26;32
9;15;17;24;32;35
8;10;12;28;31;39
21;25;32;37;40;41
12;19;26;28;31;38
9;16;21;35;37;38
2;17;19;23;29;38
2;22;23;28;35;42
8;25;30;38;39;40
5;9;18;33;36;45
7;14;17;20;38;43
1;3;8;14;30;37
18;22;24;35;38;39
3;5;6;11;29;35
7;13;17;18;35;37
2;19;29;30;35;45
9;24;25;27;39;45
6;7;20;22;28;39
6;10;17;19;31;32
2;17;36;38;42;44
15;19;21;28;38;44
3;26;31;32;41;43
15;21;27;30;38;39
4;8;17;19;41;42
7;23;33;36;37;43
9;13;17;21;44;45
2;11;12;35;37;42
1;8;12;22;40;42
10;15;17;21;37;42
2;10;15;17;40;45
3;11;21;22;24;29
1;2;4;15;38;40
15;23;25;37;38;41
7;9;33;39;43;44
3;15;16;20;31;36
16;17;19;24;28;39
5;11;23;36;40;45
7;18;32;35;41;44
12;18;23;26;43;45
2;11;15;27;33;45
2;17;23;36;39;42
13;18;21;27;28;38
22;27;30;37;39;43
14;19;33;38;42;43
1;11;23;34;36;37
8;15;25;31;40;41
2;5;6;15;41;43
5;8;13;21;35;39
4;8;29;33;37;40
9;11;18;20;28;36
3;10;15;26;39;44
9;17;22;25;28;34
3;6;16;23;32;42
5;11;21;27;29;41
3;5;11;13;26;27
3;7;15;22;24;29
8;13;14;33;35;40
11;16;23;25;34;36
